Feature,Importance
away_pitcher_H_batters_faced_10RA,0.005541434552695971
home_pitcher_wpa_def_skew,0.00552485924012216
home_pitcher_H_batters_faced_skew,0.005513780106035663
away_batting_wpa_bat_std,0.005509286280413313
away_pitching_BB_batters_faced_skew,0.005494100746160101
home_pitching_BB_batters_faced_skew,0.005489311881525659
home_team_errors_std,0.0054884727121159
home_batting_RBI_skew,0.005470401366366624
home_pitcher_BB_batters_faced_skew,0.0054695585222382095
away_pitcher_H_batters_faced_skew,0.00545995598635874
home_pitching_earned_run_avg_skew,0.005450826406250545
away_pitcher_earned_run_avg_std,0.005431640212643744
away_pitching_SO_batters_faced_skew,0.005421783429384431
away_pitching_H_batters_faced_skew,0.0054154317035806365
home_team_wins_std,0.005402551431893947
home_pitcher_earned_run_avg_std,0.005397029102872229
home_pitcher_wpa_def_std,0.00539638643806667
away_pitcher_leverage_index_avg_std,0.005383791623623807
away_pitcher_earned_run_avg_skew,0.005371582385816352
away_batting_onbase_perc_std,0.005338656428316002
away_team_spread_std,0.005314752432484438
home_batting_RBI_10RA,0.0053119615814416375
home_pitcher_H_batters_faced_10RA,0.005294706515003399
away_batting_RBI_10RA,0.005242744390658068
away_team_wins_std,0.00513572024288703
away_pitcher_leverage_index_avg_skew,0.0051224948997519735
season,0.00331022725139811
home_pitcher_rest,0.002875755260267268
away_pitcher_rest,0.002625303821470415
is_night_game,0.0015156496727352362
away_team_rest,0.0014938059005205056
home_team_rest,0.0013524935675735016
away_team_season_nan,0.0006332031628756559
home_team_season_nan,0.0006027753526317652
home_pitcher_nan,0.0005461530777928202
away_team_abbr_HXK,0.0004930152008723522
away_team_abbr_KJP,0.0004682188065363553
away_pitcher_nan,0.00046101063353120827
away_team_abbr_QPO,0.0004524740181210831
home_team_abbr_RAV,0.0004393840411601986
away_team_abbr_PJT,0.00043272249600780777
home_team_abbr_SAJ,0.0004287163818076721
away_team_abbr_BPH,0.0004194068857553928
away_team_abbr_JBM,0.0004163088288582154
home_team_abbr_HXK,0.00041603065873726115
home_team_abbr_PJT,0.0003995511849805713
away_team_abbr_GKO,0.00039293221669369004
home_team_abbr_RLJ,0.00038883008930890023
away_team_abbr_RAV,0.00038642513174449035
away_team_abbr_XFB,0.00037944555947218344
home_team_abbr_GUT,0.00037706804512301024
away_team_abbr_HAN,0.0003767455679489173
home_team_abbr_KFH,0.0003751483103714468
home_team_abbr_DPS,0.0003720044632094403
home_team_abbr_JBM,0.0003684393360570863
away_team_abbr_MZG,0.0003613346678975323
away_team_abbr_STC,0.00035930489173458875
home_team_abbr_ECN,0.0003585177166479941
away_team_abbr_VQC,0.00035383325327855054
home_team_abbr_QPO,0.0003505094745187835
home_team_abbr_KJP,0.00034627951394326637
home_team_abbr_RKN,0.00034315033843465196
home_team_abbr_UPV,0.0003381574492391973
away_team_abbr_JEM,0.00033682669763858967
away_team_abbr_YHA,0.00033647331125618115
home_team_abbr_JEM,0.0003338386672169747
home_team_abbr_VJV,0.00033226242318897995
away_team_abbr_QDH,0.00033215380552770684
away_team_abbr_VJV,0.0003295963950248248
away_team_abbr_DPS,0.0003243971166630478
away_team_abbr_ZQF,0.0003239991063581888
away_team_abbr_SAJ,0.00032075243681327283
home_team_abbr_BPH,0.00032058048171112975
home_team_abbr_STC,0.0003192571239408516
away_team_abbr_FBW,0.0003174209239831105
home_team_abbr_GKO,0.00030964156104711744
home_team_abbr_MOO,0.0003073289449482535
away_team_abbr_MOO,0.000304068173684883
home_team_abbr_MZG,0.0003029988389712144
away_team_abbr_PDF,0.0003027105554818166
away_team_abbr_GLO,0.00029721639615535564
home_team_abbr_GLO,0.0002951383908253594
home_team_abbr_YHA,0.00029362494891061635
home_team_abbr_HAN,0.0002880892252054732
home_team_abbr_FBW,0.0002794467425602955
home_team_abbr_ZQF,0.00027722155543857943
home_team_abbr_PDF,0.0002668857314582157
away_team_abbr_RKN,0.00026541906652172295
away_team_abbr_KFH,0.00026492248083457605
away_team_abbr_UPV,0.00026394451888624995
away_team_abbr_GUT,0.00026020786328960743
home_team_abbr_XFB,0.0002578826354995254
home_team_abbr_QDH,0.0002503229258451174
home_team_season_TOR_2019,0.0002444348458313979
away_team_abbr_RLJ,0.00024183830351952616
away_team_abbr_ECN,0.00023406555765076117
away_pitcher_hanifbr01,0.000227802405319724
home_team_abbr_VQC,0.00022141986274858377
home_team_season_ATL_2016,0.00015913197490945117
away_team_season_TOR_2016,0.00015335303295604266
away_pitcher_bellch02,0.00014411254788396376
away_pitcher_battepe01,0.0001399170939239318
home_team_season_SDP_2019,0.0001366063704823562
away_team_season_CHW_2023,0.00012973725793492336
away_pitcher_campbpa02,0.00012751963822727714
home_pitcher_iveyty01,0.0001268174039702337
away_team_season_HOU_2023,0.00012623172386724181
home_pitcher_phillty01,0.00012564316022196147
away_pitcher_zeuchtj01,0.0001245659802310101
away_team_season_ATL_2023,0.00012437714146003862
away_pitcher_merriry01,0.00012380135001513083
home_team_season_OAK_2016,0.0001232940653895793
home_team_season_OAK_2023,0.00012299226997103732
home_team_season_MIN_2022,0.00012162702181088516
away_pitcher_hatchto01,0.00012123259499063389
home_team_season_TEX_2022,0.00011968645217316331
away_pitcher_iveyty01,0.00011788914122441452
home_team_season_WSN_2022,0.0001167970569179807
home_pitcher_johnsji04,0.00011534495920722228
home_team_season_MIA_2019,0.00011406273034128632
away_team_season_CLE_2017,0.00011348113841553521
away_pitcher_adamsch01,0.00011044916661299162
away_team_season_MIA_2022,0.00011012338242265867
away_team_season_LAA_2017,0.00010995586396164962
away_pitcher_scottch01,0.0001078456129083959
home_team_season_WSN_2023,0.00010784531700480996
away_pitcher_rodried05,0.00010770673971200766
home_team_season_SFG_2023,0.00010653986636119072
home_pitcher_buehlwa01,0.00010512284034046337
home_team_season_CIN_2023,0.00010485915054485727
home_team_season_CHC_2021,0.00010473641929835501
away_team_season_COL_2018,0.00010447177872562559
home_pitcher_briesbe01,0.00010330660812099519
away_pitcher_biagijo01,0.00010319273821141299
home_team_season_MIL_2023,0.00010278012026904916
home_pitcher_nicolju01,0.00010264215039315896
home_team_season_TOR_2018,0.00010176857909658135
date_2023-03-30,0.00010140396227671963
home_pitcher_rodriya01,0.00010123172224300895
away_pitcher_mazurad01,0.00010035790256079807
away_team_season_HOU_2021,9.992389091843858e-05
away_team_season_MIN_2023,9.985626493336033e-05
away_team_season_PHI_2016,9.972092428187487e-05
home_team_season_ARI_2022,9.954867791456125e-05
away_team_season_NYM_2022,9.802732860420781e-05
away_pitcher_howarsa01,9.767901396624232e-05
home_team_season_LAD_2019,9.750026063969154e-05
away_pitcher_bibenau01,9.741831060840206e-05
away_pitcher_nealza01,9.738429899203083e-05
home_team_season_BOS_2023,9.736446524715703e-05
home_team_season_HOU_2022,9.710082269053123e-05
away_pitcher_carraca01,9.709996544784546e-05
away_pitcher_shephch01,9.707509101076312e-05
away_pitcher_johnsji04,9.615495918724714e-05
home_team_season_STL_2017,9.605322816850371e-05
home_team_season_CIN_2017,9.583882681049893e-05
home_team_season_TBR_2023,9.570221609587207e-05
home_team_season_TBR_2016,9.537097270303989e-05
away_team_season_CIN_2017,9.537019853631439e-05
home_team_season_NYY_2016,9.48461589105006e-05
away_team_season_ATL_2016,9.476745882748077e-05
home_team_season_WSN_2019,9.469715228200284e-05
away_pitcher_willibr02,9.444499434063685e-05
home_team_season_KCR_2018,9.435314551607156e-05
home_pitcher_wrighst01,9.418768980165954e-05
away_pitcher_verlaju01,9.417706618216858e-05
home_team_season_ATL_2022,9.408465001451688e-05
home_pitcher_hatchto01,9.347953452869678e-05
home_pitcher_wainwad01,9.29486995568144e-05
away_team_season_CHW_2018,9.280887357577493e-05
away_team_season_OAK_2023,9.278832008860859e-05
home_team_season_OAK_2021,9.267928280640927e-05
away_team_season_COL_2016,9.266734672941124e-05
home_pitcher_liriafr01,9.263710706210973e-05
away_team_season_CIN_2021,9.248467986807192e-05
home_team_season_CHW_2017,9.224539335798382e-05
away_pitcher_raganco01,9.132218668771149e-05
away_pitcher_castehu01,9.103192409222145e-05
home_team_season_LAD_2017,9.066625152102862e-05
away_team_season_CHC_2019,9.041025468087831e-05
away_pitcher_corbipa01,9.040500058610729e-05
away_team_season_COL_2023,9.031406587947557e-05
home_pitcher_garream01,9.010495336301012e-05
away_pitcher_garcilu05,9.009715736940569e-05
home_pitcher_brighje01,8.986299333498786e-05
away_pitcher_briesbe01,8.984766759771247e-05
home_team_season_TOR_2022,8.955197451794727e-05
home_pitcher_biagijo01,8.952702831491267e-05
home_pitcher_battepe01,8.927530614623804e-05
home_team_season_TEX_2017,8.861649665957252e-05
away_team_season_ATL_2018,8.852927817097926e-05
away_team_season_HOU_2022,8.812606474573632e-05
away_pitcher_wrighmi01,8.741263904004016e-05
away_team_season_CLE_2023,8.73594178434797e-05
away_pitcher_feldmsc01,8.725872392290446e-05
home_pitcher_fostema01,8.700828056925578e-05
home_team_season_LAD_2018,8.677050276955353e-05
date_2016-04-04,8.55704298062283e-05
away_team_season_NYY_2018,8.552065935225804e-05
away_pitcher_wilkad01,8.5315883993107e-05
away_pitcher_rucindr01,8.506836508431332e-05
home_team_season_CHC_2023,8.499737771420117e-05
home_team_season_OAK_2019,8.499656334491076e-05
home_team_season_MIL_2017,8.483045592157976e-05
away_pitcher_quintjo01,8.407969714437159e-05
home_team_season_CLE_2017,8.38810467497836e-05
home_team_season_KCR_2016,8.379217669772312e-05
away_pitcher_duplajo01,8.365717207485445e-05
away_pitcher_cruzfe01,8.36029311839963e-05
date_2016-04-05,8.33727185646478e-05
away_pitcher_waldike01,8.312840571920092e-05
